Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,17504,416,1,4,17501,1797782,502,0,71997
101,17501,737,0,7,17494,1814546,509,0,71997
102,17494,1038,0,10,17484,1831002,519,0,71997
103,17484,211,1,2,17483,1848275,521,0,71996
104,17483,331,2,3,17482,1865427,524,0,71994
105,17482,652,1,6,17477,1882257,530,0,71993
106,17477,1527,0,14,17463,1898207,544,0,71993
107,17463,0,1,0,17464,1915670,544,0,71992
108,17464,1800,2,16,17450,1931334,560,0,71990
109,17450,219,0,2,17448,1948565,562,0,71990
110,17448,113,0,1,17447,1965900,563,0,71990
111,17447,114,0,1,17446,1983233,564,0,71990
112,17446,569,1,5,17442,2000110,569,0,71989
113,17442,703,0,6,17436,2016849,575,0,71989
114,17436,580,0,5,17431,2033705,580,0,71989
115,17431,118,1,1,17431,2051018,581,0,71988
116,17431,958,0,8,17423,2067491,589,0,71988
117,17423,837,0,7,17416,2084077,596,0,71988
118,17416,721,0,6,17410,2100772,602,0,71988
119,17410,240,0,2,17408,2117942,604,0,71988
120,17408,1470,2,12,17398,2133880,616,0,71986
121,17398,878,0,7,17391,2150400,623,0,71986
122,17391,631,1,5,17387,2167160,628,0,71985
123,17387,252,0,2,17385,2184295,630,0,71985
124,17385,773,0,6,17379,2200907,636,0,71985
125,17379,1533,1,12,17368,2216753,648,0,71984
126,17368,1916,0,15,17353,2232205,663,0,71984
127,17353,129,2,1,17354,2249429,664,0,71982
128,17354,135,0,1,17353,2266648,665,0,71982
129,17353,660,1,5,17349,2283341,670,0,71981
130,17349,1316,0,10,17339,2299374,680,0,71981
131,17339,529,0,4,17335,2316184,684,0,71981
132,17335,398,0,3,17332,2333121,687,0,71981
133,17332,0,1,0,17333,2350453,687,0,71980
134,17333,554,0,4,17329,2367232,691,0,71980
135,17329,1217,3,9,17323,2383344,700,0,71977
136,17323,1872,1,14,17310,2398795,714,0,71976
137,17310,559,0,4,17306,2415546,718,0,71976
138,17306,0,0,0,17306,2432852,718,0,71976
139,17306,848,0,6,17300,2449310,724,0,71976
140,17300,720,0,5,17295,2465890,729,0,71976
141,17295,144,0,1,17294,2483041,730,0,71976
142,17294,321,0,3,17291,2500014,733,0,71976
143,17291,145,0,1,17290,2517160,734,0,71976
144,17290,151,1,1,17290,2534299,735,0,71975
145,17290,892,1,6,17285,2550697,741,0,71974
146,17285,1187,0,8,17277,2566795,749,0,71974
147,17277,1349,2,9,17270,2582723,758,0,71972
