"BehaviorSpace results (NetLogo 6.3.0)"
"ForestFire.nlogo"
"secondtExperiment-zeroTreeRadiation"
"01/05/2024 10:08:54:651 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","299","0","299"
"[run number]","P","F","Tree-radiation","Mass-heat-ratio","Mass-ashes-ratio","Ashes-retention-ratio","Ashes-mass-ratio","Initial-density","Transiency","Stop-at","BurnNeis4","Watch-fire","[step]","count turtles"
"1","0.001","0.001","0","10","0","10","10","20","100","1100","false","false","1099","18820"
"4","0.001","0.001","0","10","0","90","90","20","100","1100","false","false","1099","18772"
"8","0.001","0.001","0","90","0","90","90","20","100","1100","false","false","1099","18648"
"6","0.001","0.001","0","90","0","10","90","20","100","1100","false","false","1099","18389"
"5","0.001","0.001","0","90","0","10","10","20","100","1100","false","false","1099","18294"
"2","0.001","0.001","0","10","0","10","90","20","100","1100","false","false","1099","18699"
"3","0.001","0.001","0","10","0","90","10","20","100","1100","false","false","1099","18636"
"7","0.001","0.001","0","90","0","90","10","20","100","1100","false","false","1099","18705"
"9","0.001","0.1","0","10","0","10","10","20","100","1100","false","false","1099","13709"
"10","0.001","0.1","0","10","0","10","90","20","100","1100","false","false","1099","16697"
"11","0.001","0.1","0","10","0","90","10","20","100","1100","false","false","1099","18019"
"17","0.001","1","0","10","0","10","10","20","100","1100","false","false","1099","756"
"13","0.001","0.1","0","90","0","10","10","20","100","1100","false","false","1099","4289"
"14","0.001","0.1","0","90","0","10","90","20","100","1100","false","false","1099","4366"
"18","0.001","1","0","10","0","10","90","20","100","1100","false","false","1099","7489"
"15","0.001","0.1","0","90","0","90","10","20","100","1100","false","false","1099","9283"
"12","0.001","0.1","0","10","0","90","90","20","100","1100","false","false","1099","18542"
"19","0.001","1","0","10","0","90","10","20","100","1100","false","false","1099","6889"
"16","0.001","0.1","0","90","0","90","90","20","100","1100","false","false","1099","9659"
"20","0.001","1","0","10","0","90","90","20","100","1100","false","false","1099","15166"
"23","0.001","1","0","90","0","90","10","20","100","1100","false","false","1099","229"
"21","0.001","1","0","90","0","10","10","20","100","1100","false","false","1099","103"
"22","0.001","1","0","90","0","10","90","20","100","1100","false","false","1099","99"
"24","0.001","1","0","90","0","90","90","20","100","1100","false","false","1099","282"
"26","0.1","0.001","0","10","0","10","90","20","100","1100","false","false","1099","41520"
"28","0.1","0.001","0","10","0","90","90","20","100","1100","false","false","1099","47468"
"25","0.1","0.001","0","10","0","10","10","20","100","1100","false","false","1099","41231"
"29","0.1","0.001","0","90","0","10","10","20","100","1100","false","false","1099","30153"
"27","0.1","0.001","0","10","0","90","10","20","100","1100","false","false","1099","58729"
"33","0.1","0.1","0","10","0","10","10","20","100","1100","false","false","1099","28980"
"34","0.1","0.1","0","10","0","10","90","20","100","1100","false","false","1099","35870"
"30","0.1","0.001","0","90","0","10","90","20","100","1100","false","false","1099","27498"
"36","0.1","0.1","0","10","0","90","90","20","100","1100","false","false","1099","41012"
"32","0.1","0.001","0","90","0","90","90","20","100","1100","false","false","1099","31874"
"31","0.1","0.001","0","90","0","90","10","20","100","1100","false","false","1099","35352"
"38","0.1","0.1","0","90","0","10","90","20","100","1100","false","false","1099","15509"
"39","0.1","0.1","0","90","0","90","10","20","100","1100","false","false","1099","20656"
"35","0.1","0.1","0","10","0","90","10","20","100","1100","false","false","1099","44126"
"37","0.1","0.1","0","90","0","10","10","20","100","1100","false","false","1099","15713"
"41","0.1","1","0","10","0","10","10","20","100","1100","false","false","1099","10771"
"40","0.1","0.1","0","90","0","90","90","20","100","1100","false","false","1099","20799"
"45","0.1","1","0","90","0","10","10","20","100","1100","false","false","1099","5442"
"44","0.1","1","0","10","0","90","90","20","100","1100","false","false","1099","29843"
"42","0.1","1","0","10","0","10","90","20","100","1100","false","false","1099","20545"
"43","0.1","1","0","10","0","90","10","20","100","1100","false","false","1099","23210"
"48","0.1","1","0","90","0","90","90","20","100","1100","false","false","1099","7505"
"46","0.1","1","0","90","0","10","90","20","100","1100","false","false","1099","5632"
