Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,16653.413,17652.022,1646,1786,16508,136843.471,68154,1950.832,5338
101,16513.68,16970.671,1662,1642,16528,136386.48,68268,1886.47,5204
102,16530.92,14620.095,1657,1459,16726,138297.305,68186,1647.736,5088
103,16731.437,15880.713,1592,1531,16787,139148.029,68251,1747.408,4962
104,16791.368,13366.325,1645,1337,17095,142573.072,68090,1507.006,4815
105,17099.17,14463.606,1695,1397,17393,145208.636,67919,1592.891,4688
106,17396.492,19506.681,1612,1858,17147,143098.448,68292,2106.465,4561
107,17152.005,18902.339,1698,1839,17006,141348.113,68547,2095.876,4447
108,17012.733,15699.96,1608,1571,17043,142660.886,68625,1772.85,4332
109,17049.765,19793.967,1640,1923,16760,139916.684,69005,2149.917,4235
110,16766.522,19174.094,1790,1883,16667,137509.113,69209,2125.879,4124
111,16671.524,15709.008,1597,1632,16632,138471.628,69349,1778.965,4019
112,16636.324,15461.289,1631,1508,16755,139646.663,69324,1719.702,3921
113,16758.49,12509.972,1660,1261,17154,143895.18,69012,1419.478,3834
114,17156.603,13639.669,1647,1366,17435,147412.115,68844,1503.311,3721
115,17439.064,20171.988,1737,1945,17227,144679.19,69147,2163.466,3626
116,17232.236,16646.162,1720,1657,17290,145265.265,69182,1875.727,3528
117,17294.705,16514.522,1605,1572,17323,146045.448,69224,1834.32,3453
118,17327.632,18174.098,1786,1748,17361,145198.982,69280,1996.21,3359
119,17368.422,17670.423,1707,1672,17396,144896.981,69345,1959.241,3259
120,17403.44,19512.091,1685,1903,17178,142788.33,69656,2139.693,3166
121,17184.078,20694.444,1635,1999,16814,139277.965,70103,2277.336,3083
122,16820.859,17014.93,1643,1712,16745,139083.893,70242,1922.368,3013
123,16749.778,18713.111,1622,1779,16588,137120.559,70479,2058.77,2933
124,16594.814,19728.952,1614,1951,16251,133986.421,70881,2171.959,2868
125,16256.143,14651.153,1613,1520,16344,135591.411,70857,1677.169,2799
126,16347.724,12341.611,1633,1278,16699,139597.524,70565,1398.154,2736
127,16701.882,16983.267,1686,1632,16753,139316.139,70589,1835.26,2658
128,16757.127,17293.735,1694,1680,16767,138779.531,70644,1908.772,2589
129,16770.518,18319.358,1614,1742,16639,137230.69,70831,2019.295,2530
130,16642.524,16903.312,1610,1674,16575,136969.902,70944,1888.737,2481
131,16579.667,14497.103,1635,1434,16776,139052.467,70807,1633.917,2417
132,16779.416,18359.716,1658,1819,16615,137472.167,71029,1995.947,2356
133,16622.413,16198.761,1569,1571,16613,137895.819,71077,1812.058,2310
134,16617.007,13466.119,1709,1340,16982,141046.707,70763,1523.811,2255
135,16986.057,16870.229,1640,1660,16962,141162.535,70849,1835.347,2189
136,16967.303,18064.182,1675,1742,16895,140065.656,70977,1984.65,2128
137,16899.759,15229.445,1644,1531,17008,141735.97,70918,1716.65,2074
138,17013.653,20470.234,1656,1967,16697,138279.389,71282,2213.035,2021
139,16702.204,13948.655,1603,1455,16845,141032.938,71178,1610.965,1977
140,16849.032,15669.182,1730,1594,16981,142212.788,71100,1723.983,1919
141,16986.415,16732.193,1630,1706,16905,142467.01,71226,1840.202,1869
142,16909.968,13969.143,1615,1375,17145,145407.835,71030,1575.966,1825
143,17148.389,18933.239,1675,1809,17011,143622.986,71213,2047.532,1776
144,17015.996,19323.621,1700,1829,16882,141315.361,71382,2132.119,1736
145,16886.06,19843.501,1649,1880,16651,138357.92,71674,2193.502,1675
146,16658.016,17202.7,1680,1685,16646,137813.236,71718,1932.604,1636
147,16652.379,20690.427,1591,1981,16256,133775.188,72146,2255.924,1598
